Name,Avg,Hits,HR,RBI,Walks,OPS
Alejandro Kirk,0.296,111,12,48,50,0.818
Vladimir Guerrero Jr.,0.279,138,26,78,48,0.841
Santiago Espinal,0.267,107,7,44,30,0.694
Bo Bichette,0.262,134,17,66,33,0.727
Matt Chapman,0.236,100,24,64,46,0.78
Lourdes Gurriel Jr.,0.295,127,5,51,29,0.748
George Springer,0.272,104,19,57,41,0.828
Teoscar Hernandez,0.261,99,18,59,27,0.784
Zack Collins,0.194,14,4,10,6,0.682
Raimel Tapia,0.263,83,5,38,10,0.655
Cavan Biggio,0.216,41,3,18,30,0.694
Danny Jansen,0.224,30,11,30,13,0.779
Bradley Zimmer,0.105,8,2,3,5,0.446
Gabriel Moreno,0.276,16,0,4,2,0.593
Whit Merrifield,0.216,11,1,2,5,0.56
Jackie Bradley Jr.,0.167,4,0,4,2,0.481
Tyler Heineman#,0.267,4,0,1,0,0.667
Gosuke Katoh,0.143,1,0,0,3,0.686
Vinny Capra,0.2,1,0,0,2,0.629
